1 4.15649232538
2 7.60291851056
3 9.93730778729
4 11.0616355177
5 11.6125072243
6 11.9450573561
7 12.1753683659
8 12.343671997
9 12.4684002603
10 12.5536388486
11 12.6099993533
12 12.6491596107
13 12.679607101
14 12.7036578631
15 12.7221708874
16 12.737278294
17 12.7498968385
18 12.760093394
19 12.7675760332
20 12.7735705579
21 12.7772448639
22 12.7809202161
23 12.784596615
24 12.7877195067
25 12.7900113454
26 12.7920264935
27 12.7940422282
28 12.795781119
29 12.7975205201
30 12.7992604316
31 12.8008280655
32 12.8017362196
33 12.8026446536
34 12.8035533676
35 12.8044623618
36 12.8053716363
37 12.8062811912
38 12.8069132103
39 12.8072675778
40 12.8076220717
41 12.8079766919
42 12.8083314386
43 12.8086863118
44 12.8090413115
45 12.8093964379
46 12.8097516909
47 12.8101070706
48 12.8104625771
49 12.810539969
50 12.8106174103
