1 4.18211943964
2 7.82446449364
3 10.9012660955
4 13.2702819651
5 14.8311918701
6 15.7526093921
7 16.2638343991
8 16.550749162
9 16.7177264214
10 16.8171752261
11 16.8818316954
12 16.926501073
13 16.9607669278
14 16.9850443049
15 17.00005307
16 17.009483252
17 17.0156607402
18 17.0199830473
19 17.0232274791
20 17.0256318064
21 17.0276842008
22 17.0295124131
23 17.0311397398
24 17.0326225523
25 17.0339331741
26 17.0351845465
27 17.0362552578
28 17.0370689457
29 17.0377524899
30 17.0383701309
31 17.0389080994
32 17.0393745685
33 17.0398170017
34 17.0401026566
35 17.040338268
36 17.0405498395
37 17.0407465958
38 17.040943355
39 17.0411252986
40 17.0412479699
41 17.0413706431
42 17.0414784992
43 17.0415474931
44 17.0416016689
45 17.0416410262
46 17.0416803842
47 17.0417197429
48 17.0417591022
49 17.0417928686
50 17.0418266355
